CampaignID,StartDate,EndDate,Channel,Impressions,Clicks,Leads,Conversions,Cost_USD,Revenue_USD,ROI,Campaign_Duration,CTR,Lead_Conversion_Rate,Conversion_Rate,CPC,CPL,Cost_Per_Conversion,Revenue_Per_Click
CAMP00001,2025-04-13,2025-04-19,Search,293520,23335,11643,5389,1052.39,2236.02,112.47066201693285,6,7.950054510765876,49.89500749946432,23.094064709663595,0.04509920719948576,0.09038821609550804,0.19528483948784564,0.09582258410113563
CAMP00002,2025-12-15,2025-12-24,Search,200340,15841,6601,2498,3964.9,11740.15,196.10204544881333,9,7.9070580013976235,41.67034909412284,15.7692064894893,0.250293542074364,0.6006514164520528,1.5872297838270617,0.741124297708478
CAMP00003,2025-09-28,2025-10-06,Email,239365,16478,8043,3397,1000.39,1902.24,90.1498415617909,8,6.884047375347273,48.81053525913339,20.615365942468745,0.060710644495691225,0.12438020639065026,0.2944921989991169,0.11544119431969899
CAMP00004,2025-04-17,2025-04-30,Search,156382,2672,1014,342,1252.63,2209.74,76.40803748912285,13,1.7086365438477573,37.949101796407184,12.79940119760479,0.4687986526946108,1.2353353057199212,3.6626608187134506,0.8269985029940119
CAMP00005,2025-03-13,2025-03-22,Influencer,285472,4155,1521,565,4935.48,14111.31,185.91565562012207,9,1.4554842506445465,36.60649819494585,13.598074608904934,1.1878411552346568,3.2448915187376723,8.735362831858406,3.3962238267148015
CAMP00006,2025-07-08,2025-07-21,Social,177469,7979,3231,1446,3540.34,3885.94,9.761774292864525,13,4.495996483892962,40.49379621506454,18.12257175084597,0.44370723148264196,1.0957412565769111,2.4483679114799446,0.48702092994109536
CAMP00007,2025-01-21,2025-02-05,Display,174231,2160,379,107,1999.53,3306.37,65.35735897936014,15,1.2397334573066792,17.546296296296298,4.953703703703704,0.9257083333333334,5.275804749340369,18.687196261682242,1.5307268518518518
CAMP00008,2025-04-13,2025-04-26,Display,234598,21435,9052,2295,3793.91,7159.09,88.69952107456425,13,9.136906537992651,42.22999766736646,10.706787963610918,0.17699603452297644,0.41912395050817497,1.653119825708061,0.33399066946582695
CAMP00009,2025-05-02,2025-05-08,Influencer,209438,2474,1207,697,2385.72,2800.53,17.387203862984776,6,1.181256505505209,48.78738884397736,28.172999191592563,0.9643168957154405,1.976570008285004,3.422840746054519,1.1319846402586904
CAMP00010,2025-08-03,2025-08-16,Search,195376,2474,852,251,1142.07,2323.19,103.41922999465885,13,1.2662763082466628,34.438156831042846,10.145513338722715,0.46162894098625706,1.3404577464788732,4.5500796812749,0.9390420371867422
